id	subject	session	row	time	key	p_utts	p_form	p_lrb	p_obj	p_gloss	p_orient	p_mspd	p_g_type	p_gs_rel
10250801528	25	8	1528	00:34:23		x@l.	iconic	R		letter X	traceshape	drawing letter X. on table	R.a	RF.a
10250803029	25	8	3029	00:19:24		water, um, flippers.	iconic	B		paddling through water	H=O	moving hands as if they were flippers	R.a	RF.a
10250803120	25	8	3120	00:21:44		super stretchy.	iconic	L		stretchy arm	B=B	extending arm as if she were Elastigirl	R.a	RF.a
10250900034	25	9	34	00:00:50			iconic	L		corner	traceshape	traces around edge of puzzle piece	R.a	X
10250900054	25	9	54	00:01:23		this is straight.	iconic	L		straightedge	traceshape	moving finger in straight-line next to puzzle piece	R.a	RF.a
10250900055	25	9	55			where do you think the straight piece goes?	iconic~	L		straightedge	traceshape	moving finger in straight-line next to puzzle piece	R.a	RF.a
10250900083	25	9	83	00:02:06		what do you think goes here?	iconic	L		corner space	traceshape	outlining shape of empty space where corner piece needs to go	R.a	ADD.a
10250900088	25	9	88	00:02:16		it's a straight line.	iconic	L		straight	traceshape	moving finger where edge of puzzle would be	R.a	RF.a
10250900093	25	9	93	00:02:25		what's this?	iconic	L		corner space	traceshape	moving finger where corner of puzzle would be	R.a	ADD.a
10250900199	25	9	199	00:04:47		it has straight line on the top.	iconic	R		straight	traceshape	moving finger along edge of piece	R.a	RF.a
10250900207	25	9	207	00:04:59		this way and this way.	iconic	R		corner	tracepath	moving finger where edge of puzzle would be	R.d	DA
10250900211	25	9	211	00:05:03		straight lines this way and this way.	iconic	R		corner	tracepath	moving finger where edge of puzzle would be	R.d	DA
10250900696	25	9	696	00:18:53		oh honey, I don't think so because look at, these are straight and this has bumpies.	iconic-Point	L-L	-curved part of puzzle piece	straight-curved part of puzzle piece	traceshape	moving finger along the border of puzzle	R.a;DP	RF.a;RF
10250900771	25	9	771	00:20:55		one with two straight edges.	iconic	R		corner	traceshape	makes corner with finger	R.a	RF.a
10250900987	25	9	987	00:26:23		see how that line goes?	iconic	R		straight line	traceshape	moving finger across puzzle pieces in a line	R.a	ADD.a
10250902498	25	9	2498	00:09:13		right, so put a line through it.	iconic	R		line through object	tracepath	moving finger as if putting a line through something	R.d	RF.d
10250902961	25	9	2961	00:26:33		yeah, now this one they just want you to trace the lines going here here.	iconic	L		line	tracepath		R.d	DA
10250902962	25	9	2962			here here.	iconic	L		line	tracepath		R.d	DA
10250902963	25	9	2963			this one.	iconic	L		line	tracepath		R.d	ADD.d
10250902964	25	9	2964			this one.	iconic	L		line	tracepath		R.d	ADD.d
10250902966	25	9	2966	00:26:40	b	then go down down down down.	iconic	L		down line	tracepath		R.d	RF.d
10250903013	25	9	3013	00:27:37		now these are down.	iconic	L		straight-line down	tracepath		R.d	RF.d
10250903014	25	9	3014			down.	iconic	L		straight-line down	tracepath		R.d	RF.d
10250903016	25	9	3016		b	down.	iconic	L		straight-line down	tracepath		R.d	RF.d
10250903027	25	9	3027	00:27:54		it's just a line.	iconic	L		line	traceshape	touch	R.a	RF.a
10250903047	25	9	3047	00:28:24		now do the long ones.	iconic-iconic	L-L		straight-line-straight-line	traceshape.traceshape		R.a;R.a	RF.a;RF.a
10250903061	25	9	3061	00:29:07		just like that but these are on a slant so you follow it this way.	iconic-iconic-iconic	L-L-L		straight-line-straight-line-straight-line	tracepath.tracepath.tracepath		R.d;R.d;R.d	DA;DA;DA
10250903062	25	9	3062			this way.	iconic	L		line	tracepath		R.d	DA
10250903063	25	9	3063			this way.	iconic	L		line	tracepath		R.d	DA
10250903065	25	9	3065			so follow the line.	iconic	L		line	traceshape		R.a	RF.a
10250903066	25	9	3066	00:29:14		they're not straight down.	iconic	L		downward line	tracepath		R.d	RF.d
10251000657	25	10	657	00:35:47		alright Jacob, now carefully bring the crayons upstairs.	iconic	l		bring upstairs		moves hand upward with palm to the side	R.d	RF.d
10251001456	25	10	1456			well show me how you're going to make your -- your body like strong.	iconic	r		strong		squeezes fist shut hard	R.a	RF.a
10270100021	27	1	21	00:00:48		let's go find your piggy bank.	iconic	R		forward	tracepath	M moves hand if forward direction possibly towards piggy bank	R.d	ADD.d
10270101189	27	1	1189	00:50:12		the bear's playing drums	iconic	B		drumming	H=H	M drums on C's legs with her hands	R.m	RF.p
10270101202	27	1	1202	00:50:55		remember hot.	iconic	R		fanning	H=H	M moves hand sideways in fanning motion	R.m	ADD.p
10270101501	27	1	1501	00:25:06	*	aspen	iconic	R		inwards	tracepath	moves hand towards the inside of house	R.d	ADD.d
10270101524	27	1	1524	00:25:52		come on, let's go get Aspen	iconic	L		upward	tracepath	moves handin forward direction toward upstairs	R.d	ADD.d
10270200951	27	2	951	00:37:48			iconic	R		circle	traceshape	M traces circle shape with index finger	R.a	X
10270202385	27	2	2385	00:33:29		kind of like you dancing round and round and round.	iconic	R		round	tracepath	M tracesa circular path in air	R.d	RF.d
10270300053	27	3	53			we climb stairs and then they go around the ramp.	iconic	L		around	trace path	M traces a circular path around the ramp to describe the path penguins take	R.d	RF.d
10270300313	27	3	313	00:12:35		woo	iconic	R		elephant 	H=O	M extends arm above head as if she is the elephant	R.a	ADD.a
10270301346	27	3	1346			roar!	iconic	R		elephant 	H=O	M extends arm above head as if she is the elephant	R.a	ADD.a
10270301842	27	3	1842	00:23:39		it's almost like a balloon is on a string, right?	iconic	R	balloon on paper	balloon's shape	traceshape	M traces the shape of the balloon-like drawing on the paper	R.a	ELAB.a
10270301888	27	3	1888	00:25:50		the big butter+fly	iconic	B		big	H=O	M holds hand wide apart in air with finers forming a sphere	R.a	RF.a
10270301897	27	3	1897			pull it apart.	iconic	B		pulling apart	H=H	M moves hands apart from each other	R.m	RF.p
10270401713	27	4	1713	00:01:24		turn it once more.	iconic	R		turning	H=H	M rotates thumb and index finger on downward facing palm to represent turning	R.m	RF.p
10270402116	27	4	2116			let's go on a special trip.	iconic	L		forward	tracepath	M moves arm forward to indicate direction of motion	R.d	ADD.d
10270402117	27	4	2117	00:15:50		let's drive our cars.	iconic	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	RF.p
10270402118	27	4	2118			come on!	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402119	27	4	2119			vroom vroom.	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402122	27	4	2122	00:15:58		come on.	iconic	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402123	27	4	2123	00:15:59		we're not going very far.	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402127	27	4	2127	00:16:06		ch, ch, ch, ch, ch	iconic	L		blinking	H=O	M raises and lowers a fist shaped hand several times to mimic flashing blinker	R.m	ADD.p
10270402179	27	4	2179	00:17:33		we're going.	iconic	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402180	27	4	2180	00:17:36		I'm driving in my car.	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	RF.p
10270402181	27	4	2181	00:17:37		are you driving your car?	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	RF.p
10270402183	27	4	2183			alright!	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402184	27	4	2184	00:17:40		I'm driving my car.	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	RF.p
10270402185	27	4	2185	00:17:42		we're going fast!	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402186	27	4	2186			aren't we?	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402187	27	4	2187			we're going fast?	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402189	27	4	2189	00:17:47		yeah.	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402190	27	4	2190	00:17:48		come on!	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402191	27	4	2191	00:17:50		aw, we're at the water+slides.	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402192	27	4	2192	00:17:52		I don't know if Aspen can go on them.	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402197	27	4	2197	00:18:01		we're going fast.	iconic	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402198	27	4	2198	00:18:03		how come we're not at the water+slides?	iconic~	B		driving/steering	H=H	M turns fists that are about a feet apart left and right to mimic action of turning steering wheel	R.m	ADD.p
10270402241	27	4	2241	00:19:26		Cashhooooo	iconic	B		sliding	H=O	M quickly lowers raised hands to mimic waved path water might take down a slide	R.m	ADD.p
10270402303	27	4	2303	00:21:18		yeah, black and white penguins.	iconic	B		flapping	H=O	M waves partially extended arms to mimic a penguin flapping its wings	R.m	ADD.p
10270402304	27	4	2304	00:21:20		and they flap their little wings.	iconic	B		flapping	H=O	M waves partially extended arms to mimic a penguin flapping its wings	R.m	RF.p
10270402416	27	4	2416	00:25:33		chomp chomp.	iconic	R		biting	H=O	M squeezes C's foot to mimic alligator biting foot	R.m	ADD.p
10270402497	27	4	2497	00:28:10		turn it around.	iconic	L		(turning) around	tracepath	M traces counter clockwise circles over puzzle piece 	R.d	RF.d
10270500948	27	5	948			boing, boing, boing, pshoooo.	iconic. Iconic	R.R		bouncing. Diving	H=O.H=O	M moves finger up and down on lego "divingboard" several times to mimic bouncing. M then moves finger from the diving board and traces a curved shape to floor rapidly to mimic diving	R.m;R.m	ADD.p;ADD.p
10270501040	27	5	1040	00:34:20		up, we got to build it up.	iconic	L	legos	upward	tracepath	While holding lego traces upward path with hand	R.d	RF.d
10270501041	27	5	1041	00:34:22			iconic	L	legos	stacking	H=H	M moves hand in steps upwards as if stacking legos	R.m	X
10270501760	27	5	1760	00:00:40			iconic	B		playing (trumpet)	H=H	M lifts hands in air as if one hand holding and pressing buttons on trumpet	R.m	ADD.p
10270501761	27	5	1761				iconic	B		playing (trumpet)	H=H	M lifts hands in air as if one hand holding and pressing buttons on trumpet	R.m	ADD.p
10270501762	27	5	1762				iconic~	B		playing (accordian)	H=H	M moves fist shaped hands sideways and pushes imaginary accoridian buttons	R.m	ADD.p
10270501771	27	5	1771			---	iconic	B		play accordian		M moves hands while pushing imaginary buttons	R	ADD
10270501825	27	5	1825			go under the bridge!	iconic	WB		bridge	B=O	M extends arms straight and bends forwars as if she is the bridge	R.a	RF.a
10270501828	27	5	1828			like this.	iconic	WB		bridge	B=O	M extends arms straight and bends forwars as if she is the bridge	R.a	ADD.a
10270501829	27	5	1829			I'm a bridge.	iconic~	WB		bridge	B=O	M extends arms straight and bends forwars as if she is the bridge	R.a	RF.a
10270501830	27	5	1830			go under!	iconic~	WB		bridge	B=O	M extends arms straight and bends forwars as if she is the bridge	R.a	ADD.a
10270501832	27	5	1832			go under the bridge!	iconic	WB		bridge	B=O	M extends arms straight and bends forwars as if she is the bridge	R.a	RF.a
10270501860	27	5	1860	00:04:11		drums.	iconic	B		drumming	H=H	M pantomimes beating drum with drumsticks	R.m	ADD.p
10270501888	27	5	1888	00:05:33			iconic	B		blowing up	H=O	M holds cupped palms against her face and blows	R.m	X
10270501895	27	5	1895	00:05:44		blow it up.	iconic	B		blowing up	H=O	M holds fist next to face and blows to represent blowing up balloon	R.m	RF.p
10270501911	27	5	1911	00:06:03		look at the guitar.	iconic	B		playing (guitar)	H=H/O	M holds an imaginary guitar with Left hand and strums with R hand	R.m	ADD.p
10270501912	27	5	1912	00:06:04		can you play your guitar?	iconic~	B		playing (guitar)	H=H/O	M holds an imaginary guitar with Left hand and strums with R hand	R.m	RF.p
10270502504	27	5	2504	00:22:54		### they have all their oven mitts on so they don't get burned because what -- it's hot.	point-point-point-point-iconic	R-R-R-R-R	mitts-mitts-mitts-mitts-	mitts-mitts-mitts-mitts-fanning 	touch-touch-touch-touch- H=H	M uses downward facing palm to make fanning motion to show that it is hot	DP;DP;DP;DP;R.m	RF;RF;RF;RF;ADD.p
10270502612	27	5	2612	00:26:09			iconic	R		blowing up	H=O	M holds side palm near her mouth and blows to mimic blowing up a balloon	R.m	X
10270502719	27	5	2719	00:28:44		want me to tie them?	iconic	B		tying	H=H	M moves fingers to pantomime tying knot	R.m	RF.p
10270502721	27	5	2721	00:28:46			iconic	R		blowing up	H=O	M holds side palm  next to fist and blows to represent blowing up balloon	R.m	X
10270502725	27	5	2725	00:28:50		Buzz.	iconic	R		flying	H=O	M moves finger rapidly in air as if an imaginary flying balloon	R.m	ADD.p
10270502730	27	5	2730	00:28:55			iconic	R		blowing up	H=O	M blows on curled up fingers as if blowing up a balloon	R.m	X
10270502731	27	5	2731	00:28:58		can I tie it?	iconic	B		tying	H=H	M moves fingers to pantomime tying knot	R.m	RF.p
10270502734	27	5	2734	00:28:58			iconic	B		throwing	H=H	M moves palms forward as if throwing a balloon	R.m	X
10270502735	27	5	2735	00:29:02		oh, are you -- throwing it back to me?	iconic	B		catching	H=H	M waves inward facing palms at herself as if catching something	R.m	ADD.p
10270502743	27	5	2743	00:29:15			iconic	R		blowing up	H=O	M blows on curled up fingers as if blowing up a balloon	R.m	X
10270502744	27	5	2744	00:29:17		I'm blowing a yellow one.	iconic~	R		blowing up	H=O	M blows on curled up fingers as if blowing up a balloon	R.m	RF.p
10270502745	27	5	2745	00:29:18		what color is yours?	iconic~	R		blowing up	H=O	M blows on curled up fingers as if blowing up a balloon	R.m	ADD.p
10270502747	27	5	2747	00:29:20		what color is yours?	iconic~	R		blowing up	H=O	M blows on curled up fingers as if blowing up a balloon	R.m	ADD.p
10270502751	27	5	2751	00:29:25		I got to tie it up.	iconic	B		tying	H=H	M pantomimes tying knot	R.m	RF.p
10270502752	27	5	2752	00:29:27		catch it.	iconic	B		throwing	H=H	M moves palms forward as if throwing a balloon	R.m	ADD.p
10270502758	27	5	2758	00:29:35			iconic	R		blowing up	H=O	M blows on curled up fingers as if blowing up balloon	R.m	X
10270600024	27	6	24	00:00:42	24	you know what you forgot?	iconic	L		big tube	H=O	M uses middle  finger and thumb to represent shape of big tube of finger paint	R.a	ADD.a
10270600025	27	6	25	00:00:43	25	the bigger tubes.	iconic~	L		big tube	H=O	M uses middle  finger and thumb to represent shape of big tube of finger paint	R.a	RF.a
10270600026	27	6	26	00:00:44	26	of fingerpaints.	iconic~	L		big tube	H=O	M uses middle  finger and thumb to represent shape of big tube of finger paint	R.a	ADD.a
10270600486	27	6	486	00:17:31	484	squeeze it.	iconic	R		squeezing	H=H	M squeezes partially opened fingers together to form tight fist in NS	R.m	RF.p
10270600698	27	6	698	00:26:10	696	like we can make a mountain like this.	iconic	R		mountain	traceshape	M moves a downward facing palm upward to trace shape of mountain	R.a	ELAB.a
10270600701	27	6	701	00:26:13	699	build a tall mountain and then we'll build a smaller one behind it.	iconic	R		tall	H=O	M holds downward facing palm several feet above ground to show potential height of tall lego mountain	R.a	RF.a
10270600779	27	6	779	00:29:07	777	we're building the back of the mountain so we can climb up this way too.	iconic	R		upward	tracepath	M moves forward diagonal palm in air above lego mountain in an incline	R.d	DA
10270600783	27	6	783	00:29:13	781	you just build it up and up and up.	iconic	R		stacking	H=H	M places downward facing palm over space above lego mountain and then moves palm up in steps to represent stacking legos	R.m	ADD.p
10270600787	27	6	787	00:29:23	785	Shhhh	iconic	R		erupting 	H=O	M raises hand with extended fingers from space close to lego mountain to space above her head  forcefully to represent lava erupting from volcano	R.m	ADD.p
10270601226	27	6	1226	00:43:29	1222	and they'll go bump, bump, bump, bump, bump.	iconic	R		bumping/hopping	H=O	M moves her finger in bumping motion down the toy stairs	R.m	RF.p
10270601289	27	6	1289	00:45:38	1283	and they can climb up here and they go bump bump bump bump bump.	palm. Iconic	R.R	top of slide	top of slide. Bumping/hopping	H=O	M moves her in bumping/hopping motion down the slide	DP;R.m	DA;RF.p
10270601371	27	6	1371	00:48:42	1365	here, push them a little bit further because mommy can't reach them so well.	iconic	R		pushing	H=H	M moves palm toward herself forcefully to represent pushing blocks towards her	R.m	RF.p
10270601409	27	6	1409	00:50:13	1403	so you can walk out the front door to the garage and get the car.	iconic. Point	R	lego garage	walking. Lego garage	H=B	M moves finger in walking manner  from lego house to lego garage to represent walking to garage. Touch	R.m;DP	RF.p;RF
10270601575	27	6	1575	00:56:05	1568	ok, big armload and -- dump them in here.	iconic. Palm	B	.inside bag	armload. Inside bag	H=O	M holds inward facing palms about a foot apart to pantomime holding big armload of blocks	R.a;DP	RF.a;DA
10270601778	27	6	1778	00:03:56	1769	got to come towards mom.	iconic	R		turning over	H=H	M makes a turning gesture with hand to represent turning track over	R.m	ADD.p
10270601783	27	6	1783	00:04:17	1774	### going to make a circle.	iconic	R		circle	traceshape	M traces shape of circle with index finger.	R.a	RF.a
10270601806	27	6	1806	00:04:56	1796	now turn it a little bit.	iconic	R		turning	H=H	M traces circular path with downward facing palm to represent turning	R.m	RF.p
10270601809	27	6	1809	00:05:00	1799	I meant just turn it towards you.	iconic	R		(turning) to right	tracepath	M extends downward facing palm and twist fingers counterclockwise to represent turning to right	R.d	DA
10270602248	27	6	2248	00:20:36	2238	then it gets too complicated.	iconic	B		spreading	H=H	M makes a sweeping  circular gesture with both hands starting together and moving out as if spreading cards	R.m	ADD.p
10270602269	27	6	2269	00:21:28	2260	turn them back over and we'll see if we can find their matches.	iconic	R		(turning) over	tracepath	M turns downward facing palm upwards to represent turning card over	R.d	RF.d
10270700507	27	7	507	00:18:35		and sometimes if you stir it and stir it and stir it, it makes it like brown or black.	iconic	R		stirring	H=O	M twirls finger around as if stirring	R.m	RF.p
10270700576	27	7	576	00:21:19		ok.	iconic	R		egg's shape	traceshape	M traces a circular shape on blank area of paper to represent egg's shape	R.a	ADD.a
10270700751	27	7	751	00:29:31		so you can color -- do circles -- or squiggly lines.	iconic-iconic -iconic-iconic	R-R-R-R		coloring-circle-circle-squiggly line	H=O.traceshape (x3)	M moves finger back and forth across paper as if coloring-M traces circle shape on paper-M traces circle shape on paper-M traces squiggly line on paper	R.m;R.a;R.a;R.a	RF.p;RF.a;RF.a;RF.a
10270700772	27	7	772	00:30:35		ok see -- ### -- you can -- color in these kind of places.	point-point-cont point-cont point-iconic	R-R-R-R-R	space on paper-space on paper-space on paper-space on paper-coloring	space on paper-space on paper-space on paper-space on paper-coloring	touch-touch-touch-touch-H=O	M moves finger back and forth over paper as if coloring	DP;DP;DP;DP;R.m	DA;DA;DA;DA;RF.p
10270700784	27	7	784	00:30:08		you can draw circles or your squiggly lines.	iconic	R		circle	traceshape	M traces circles on empty space on paper.	R.a	RF.a
10270700813	27	7	813	00:31:38		now if you put a -- a sail --	iconic	R	top of boat	sail pole's shape	traceshape	M traces a straight line up from top of boat to trace sail pole's  shape	R.a	ELAB.a
10270700831	27	7	831	00:32:15		you can go all the way out to the edge.	iconic	R		towards edge	tracepath	M moves finger from end of C's ocean to the edge of paper.	R.d	RF.d
10270700940	27	7	940	00:36:16		go down.	iconic	R		downward	tracepaht	M traces line down paper	R.d	RF.d
10270700965	27	7	965	00:37:15		they're circles.	iconic	R		circle	traceshape	m traces circle in air.	R.a	RF.a
10270701002	27	7	1002	00:38:31		how about you draw her some Easter eggs like you just painted?	iconic-point	R-R	 -egg painting in other room	egg's shape-egg painting in other room	traceshape	M traces egg shape on paper.	R.a;DP	ELAB.a;RF
10270701023	27	7	1023	00:39:06		this is a perfect Easter egg.	iconic	R	easter egg on paper	egg's oval shape	traceshape	M traces oval shape of easter egg	R.a	ELAB.a
10270701024	27	7	1024			it's a nice oval.	iconic~	R	easter egg on paper	egg's oval shape	traceshape	M traces oval shape of easter egg	R.a	RF.a
10270701025	27	7	1025	00:39:10		kind of flat on the bottom -- when you peel them.	iconic	R		flat	H=O	M holds side flat palm to show flat	R.a	RF.a
10270701092	27	7	1092	00:41:36		that means that something is following.	iconic	R		following	H=O	M presses hand to floor four times as she moves hand from left to right to represent following	R.m	RF.p
10270701111	27	7	1111	00:42:28		no, remember we put the -- colored tablets in the water?	iconic	R		putting/throwing	H=H	M pantomimes putting smt/ throwing smt down	R.m	RF.p
10270701112	27	7	1112	00:42:31		in the clear water and then it turned the color -- water all different colors.	iconic	R		dispersing	H=O	M spreads fingers out on downward facing palm to mimic color dispersing	R.m	ADD.p
10270701388	27	7	1388	00:52:50		now we have to go down the side here.	iconic	L		downward	tracepath	M moves finger down puzzle to show downward path to work on puzzle 	R.d	RF.d
10270701401	27	7	1401	00:53:16		we'll build the outside of the puzzle first.	iconic	R	puzzle	puzzle's shape	traceshape	M traces rectangular shape of puzzle	R.a	ELAB.a
10270701414	27	7	1414	00:53:36		remember that flat edge goes on the outside.	iconic-cont palm	L-L	 -outside of puzzle	flat edge-outside of puzzle	H=O	M moves palm down sideways to show flat edge. 	R.a;DP	RF.a;DA
10270701462	27	7	1462	00:54:58		turn it around.	iconic	R		(turning) around	tracepath	M moves finger around in a circle	R.d	RF.d
10270701534	27	7	1534	00:57:39		you've got to have one that has little hole.	iconic	R	indentation/hole in piece	indentation/hole in piece's shape	traceshape	M turns finger around in indentation on piece.	R.a	ELAB.a
10270701536	27	7	1536	00:57:42		like this.	iconic	R	knob	knob's shape	traceshape	M traces round shape of knob on puzzle piece	R.a	ADD.a
10270701542	27	7	1542	00:58:08		now we need something that has a hole, because remember?	point-iconic	R	hole in piece-knob of piece	knob's round shape	touch-traceshape	M traces round shape of knob on puzzle piece	DP;R.a	RF;ADD.a
10270701557	27	7	1557	00:58:47		see all the ones around the outside have a flat edge.	iconic	R	puzzle board	shape of puzzle board	touch	Moves finger over the three sides of the board outlining its shape	R.a	RF.a
10270701658	27	7	1658	00:02:50		here maybe.	iconic	R	knob	knob's shape	traceshape	M traces round shape of knob on puzzle	R.a	ADD.a
10270800450	27	8	450	00:14:26		our art mat?	iconic	B		round mat	traceshape	M outlines shape of mat with hands.	R.a	ELAB.a
10270800935	27	8	935	00:31:15		take it and put it through.	iconic	R		putting through	H=H	M shows how C should thread paper through loop with all fingers touching as if holding paper	R.a	RF.p
10270801377	27	8	1377	00:46:31		the problem though is that I need to hold the baby so I can't do the --	iconic	R		rubbing	H=H	M demonstrates rubbing crayon over template.	R.m	ADD.p
10270900359	27	9	359	00:11:11		did you do a lot of olives?	iconic	R		many olives in a smile shape	trace shape	hand as if holding an olive between thumb and index finger, points to spot in air, then to another spot just below and to the R of first spot, then continues with a smooth trace from L to R in smile shape, with one more point at top R of imaginary smile	R.a/R.d	RF.a/ADD.d
10270900360	27	9	360	00:11:13		or just one.	iconic	R		one olive	trace shape	hand as if holding an olive between thumb and index finger, points to the spot in the middle and at the bottom of the imaginary smile she just gestured	R.a	RF.a
10270900449	27	9	449	00:13:59	b	and make the -- stage, and the props.	iconic	L		stage	trace shape	sweeps a palm out hand in a half circle CCW 	R.a	RF.a
10270900548	27	9	548	00:16:56		no, I think we're -- further back.	iconic	R		turn pages back		points at L page of workbook and flicks wrist twice so finger moves twice in the direction the page would move if turned back	R.d	RF.d
10270900623	27	9	623	00:20:23	b	sit down on your bottom so you don't fall.	iconic	R		sit down	trace path	points at C then flicks wrist to move point down toward chair	R.d	RF.d
10270900767	27	9	767	00:24:49		try to draw like --	iconic	L		the letter A		raises hand as if to salute, makes one half of the outside shape of the letter A	R.a	ADD.a
10270900777	27	9	777	00:25:04		without putting the line across.	iconic	R		drawing the last stroke of the letter A	trace shape	points marker tip at middle of L stroke in top half of diamond and moves marker tip straight across to middle of R stroke, as if completing the letter A	R.a	RF.a
10270900831	27	9	831	00:26:25		we need to trace these so we know how to do an o@l.	point / iconic	R / R	the letter O in workbook / 	the letter O in workbook / tracing the letter O		 / starts at top of letter O in workbook and points CCW around the circle shape	R.a	RF.a
10270900957	27	9	957	00:29:32		we need to do your own Qs down here.	iconic - iconic	R - R		drawing the letter Q - drawing the letter Q		points CCW in a circle shape on page at space for C to write Q - points CCW in a circle shape on page at another space for C to write Q, to the R 	R.m;R.m	RF.p;RF.p
10270900958	27	9	958	00:29:34		an o@l with a tail.	iconic	R		drawing the letter O		points CCW in a circle shape on page at same space, to R of first gesture	R.m	RF.p
10270901040	27	9	1040	00:31:28	b	you're -- you should go down and then around like a p@l.	ICONIC - ICONIC	R - R		writing first stroke of letter R - writing second stroke of letter R		points at space on page of workbook and moves point down page and toward C - points to space at top of imaginary first stroke and points CW in a half circle shape ending in middle of imaginary first stroke	R.d;R.d	RF.d;RF.d
10270901061	27	9	1061	00:32:00		down -- and around like a p@l and then do a leg.	ICONIC - ICONIC	R - R		writing first stroke of letter R - writing second stroke of letter R		points at middle L edge of a circle C has drawn and moves point down page and toward C - traces the R half of a circle CW with a point at a different part of workbook page	R.d;R.d	RF.d;RF.d
10270901073	27	9	1073	00:32:18		down.	ICONIC	R		drawing first stroke of letter R		points at space on page of workbook and moves point down page and toward C 	R.d	RF.d
10270901118	27	9	1118	00:33:37		and then draw a line to connect -- what matches -- each number.	iconic	R		drawing a line		points at number zero at top L of workbook page and traces point along imaginary line to bottom R of workbook page	R.m	RF.p
10270901188	27	9	1188	00:35:29		so let's move down one.	iconic	R		moving down	trace path	points at number zero then moves fingertip down and toward C to number one underneath	R.d	RF.d
10271001199	27	10	1199	00:38:19		yeah, that's what you do in a garden so you know -- so everything is -- in its row that's the same.	nod - iconic	H - R		yes - rows	trace shape	palm in, lifts hand up and brings back down once, then again slightly to the L and parallel	C;R.a	RF;RF.a
10271001307	27	10	1307	00:41:17		because he's going to save it and plant it in the front where there are some brown spots.	iconic	R		moving from back yard to front yard	trace path	points at grass under slide and slides point toward front yard	R.d	RF.d
10271001406	27	10	1406	00:44:51		well -- monkey bars are usually -- across, and little --	iconic - iconic	R - R - R		across - bars in monkey bar	 trace shape  - trace shape 	 point along top bar of swing set -points at two spots along top bar of swing set and then shapes hand as if holding bar 	R.d;R.a	RF.d;ADD.a
10271001407	27	10	1407	00:44:54		they look like a ladder -- hanging up.	iconic	R		something long and flat	trace shape	palm down, traces position of something flat laid parallel to the ground	R.a	RF.a
10271001411	27	10	1411	00:44:57		little rungs.	iconic	B		climbing a ladder		grabs at air in front of self alternately with each hand	R.m	ADD.p
10271001414	27	10	1414	00:45:02		could be.	iconic	R		something long and flat	trace shape	palm down, traces position of something flat laid parallel to the ground	R.a	ADD.a
10271001422	27	10	1422	00:45:18		that's a very good idea, but it has to be shallow --	iconic	B		shallowness	trace shape	palm down, pushes down on both sides at the same time	R.a	RF.a
10271001672	27	10	1672	00:52:28		jump --	iconic	R		jumping	trace path	points at C and moves finger quickly up and in arc shaped path away from garden towards C's R	R.d	ADD.d
10271001677	27	10	1677	00:52:33		ok walk around that way.	iconic	R		walking	trace path	points at grass around garden in path around plants	R.d	RF.d
10271001889	27	10	1889	00:58:53		you want to do your -- your paint?	iconic	R		painting	trace path	moves pencil-hold shaped hand in circle	R.m	RF.p
10271002088	27	10	2088	00:03:59		you know?	iconic	R		circle for middle of fower	traceshape	index finger makes a circular movement horizontal to table	R.a	ADD.a
10271002141	27	10	2141	00:05:30		so you can -- pu the stem that way.	iconic	R		stem of flower	trace shape	points at bottom of flower shape and drags away toward bottom of card in direction stem should be glued	R.d	DA
